,タイトル,URL,ソース,日付
0,建築家・藤森照信氏設計の一棟貸し宿「小泊Fuji」,http://bluediary2.jugem.jp/?eid=7063,青い日記帳,"Published: Mon, 21 Aug 2023 23:53:00 GMT+9
Received: Tue, 22 Aug 2023 21:03:10 GMT+9"
1,横浜流星＆橋本環奈、AIの生歌に感激「プラス料金を払わないと」「こんな間近で聞けるなんて」,https://eiga.com/news/20230822/14/,映画ニュース - 映画.com,"Published: Mon, 21 Aug 2023 23:53:00 GMT+9
Received: Tue, 22 Aug 2023 21:03:10 GMT+9"
2,ロシアによるウクライナ侵攻の直後にチェルノブイリ原子力発電所の放射線量が急上昇した理由は？,https://gigazine.net/news/20230822-radiation-spikes-at-chernobyl/,GIGAZINE,"Published: Mon, 21 Aug 2023 23:53:00 GMT+9
Received: Tue, 22 Aug 2023 21:03:10 GMT+9"
3,夏の風物詩をモチーフにしたアニメ！とりで利根川大花火、ドローンショーを導入,https://itlifehack.jp/archives/10675672.html,ITライフハック,"Published: Mon, 21 Aug 2023 23:53:00 GMT+9
Received: Tue, 22 Aug 2023 21:03:10 GMT+9"
4,ムービーとテキストからフレーム間の一貫性を維持して実用性の高いムービーを生成するAI「StableVideo」,https://gigazine.net/news/20230822-stablevideo/,GIGAZINE,"Published: Mon, 21 Aug 2023 23:53:00 GMT+9
Received: Tue, 22 Aug 2023 21:03:10 GMT+9"
5,「宇宙戦艦ヤマト 劇場版」「さらば宇宙戦艦ヤマト 愛の戦士たち」が4Kリマスター版で劇場上映,https://eiga.com/news/20230822/13/,映画ニュース - 映画.com,"Published: Mon, 21 Aug 2023 23:53:00 GMT+9
Received: Tue, 22 Aug 2023 21:03:10 GMT+9"
6,「東京ゲームショウ VR 2023」の概要が公開--初のスマホ対応や会期延長で参加しやすく,https://japan.cnet.com/article/35208110/,CNET Japan 最新情報 総合,"Published: Mon, 21 Aug 2023 23:53:00 GMT+9
Received: Tue, 22 Aug 2023 21:03:10 GMT+9"
7,2023年8月22日のヘッドラインニュース,https://gigazine.net/news/20230822-headline/,GIGAZINE,"Published: Mon, 21 Aug 2023 23:53:00 GMT+9
Received: Tue, 22 Aug 2023 21:03:10 GMT+9"
8,「RRR」の名シーンがアクリルスタンドに 「有給休暇中」「ナートゥ中」などメッセージ入りも,https://eiga.com/news/20230822/12/,映画ニュース - 映画.com,"Published: Mon, 21 Aug 2023 23:53:00 GMT+9
Received: Tue, 22 Aug 2023 21:03:10 GMT+9"
9,大和ハウスグループ3社、メタバース空間「D’s BIM ROOM」で設計業務の効率化目指す,https://japan.cnet.com/article/35208103/,CNET Japan 最新情報 総合,"Published: Mon, 21 Aug 2023 23:53:00 GMT+9
Received: Tue, 22 Aug 2023 21:03:10 GMT+9"
10,自分のエディタで記事投稿ができる、Qiita CLIの使い方,https://qiita.com/Qiita/items/666e190490d0af90a92b?utm_campaign=popular_items&utm_medium=feed&utm_source=popular_items,Qiita - 人気の記事,"Published: Mon, 21 Aug 2023 23:53:00 GMT+9
Received: Tue, 22 Aug 2023 21:03:10 GMT+9"
11,htaccessによるベーシック認証の書き方（パスワード認証）,https://qiita.com/div_tomo/items/b6ddb0c9f60e28c17e26?utm_campaign=popular_items&utm_medium=feed&utm_source=popular_items,Qiita - 人気の記事,"Published: Mon, 21 Aug 2023 23:53:00 GMT+9
Received: Tue, 22 Aug 2023 21:03:10 GMT+9"
12,猫ひろしから猫を引いてみた,https://qiita.com/enjapan_common_user/items/f85e9c63f0c69f71468a?utm_campaign=popular_items&utm_medium=feed&utm_source=popular_items,Qiita - 人気の記事,"Published: Mon, 21 Aug 2023 23:53:00 GMT+9
Received: Tue, 22 Aug 2023 21:03:10 GMT+9"
13,Elixir libcluster ゴシッププロトコルで複数の分散ノードを自動接続,https://qiita.com/mnishiguchi/items/e854de2626028b9ea830?utm_campaign=popular_items&utm_medium=feed&utm_source=popular_items,Qiita - 人気の記事,"Published: Mon, 21 Aug 2023 23:53:00 GMT+9
Received: Tue, 22 Aug 2023 21:03:10 GMT+9"
