名前,年齢&居住地,いいね数,カード,URL
くるみ,25歳 東京,205,"['ディズニー大好き', 'いろんな国に行ってみたい‼', '犬派', '甘いもの大好き♡', 'ディズニー映画、音楽大好き', 'ジブリ音楽が好き', '四畳半神話体系', '森見登美彦', '美術館・博物館巡り', 'スイーツ大好き', '肉好き', '土日祝休み！！', '韓国ドラマ大好き', '犬が大好き', 'Zootpia/ズートピア', '千と千尋の神隠し', '猫の恩返し', 'ホームアローン', 'ピクサー', '耳をすませば', '世界遺産を見に行きたい', 'ハンバーグがすき♡', 'K-POP好き', 'kpop好きな人！！', '昔、楽器やってた', '寝るの大好き', 'タバコ苦手❌', '花火や夜景がすき', 'YOASOBI', 'Perfume', '土日休み', 'トイストーリー', 'ハウルの動く城', '魔女の宅急便', 'クラシック音楽', '椎名林檎・東京事変', 'コンサートホールの空間が好き', 'グスタフ・クリムト', 'アルフォンス・ミュシャ', 'どうぶつの森']",https://with.is/users/8954384362
S,30歳 東京,1914,"['良い香りが好きです。', '温泉/旅館が好き', '現場猫かわいい', 'おいしそうに食べる人が好き！', 'スポーツするのが好き', '気にせず日焼けします', 'スーツ姿好き', '男はやっぱり黒髪短髪‼︎', 'TWICE', '紙うさぎロペ', '国家資格保持者', 'いっぱい食べる君が好き♡', '自然が好き', 'インドアもアウトドアも楽しめる✨', '男子校・女子校出身', 'くだらないことでじゃれ合って笑いたい', '年上彼氏×年下彼女', '真剣に将来を考えてお付き合いできる人', '方向音痴', '一人暮らし経験者です', 'キャンプデートしてみたい！', 'まずはご飯でも', 'お米が好き', '仕事終わりでもご飯行けます', '実年齢より下に見られる', '一人の時間も大事', '慣れるとよくしゃべります', 'くだらないことで笑い合える関係がいい', '一人で海外旅行に行ったことがある', '韓国が好き', 'たまにはラグジュアリーな場所がいい', '居酒屋デートあり‼︎', 'ゴルフが好き', 'ダンスがすき', '焼き肉が好き']",https://with.is/users/1502716789
coco,27歳 神奈川,~5,"['ディズニー一緒に行きたいんですっ❗️', 'オシャレカフェを一緒に開拓したい', '甘いもの大好き♡', 'ディズニー大好き！！！！！', 'イルミネーション大好き！', 'ディズニーランド/シーに行きたい！', '食べ歩き好きです！', 'お刺身好き', 'イルミネーション見に行きたい', '一緒にいろんなとこ行きたい', '旅行好きです', '温泉/旅館が好き', 'スイーツ大好き', 'スキンケア好き', 'ファッション・オシャレ・洋服が好き', '韓国コスメ💄スキンケア', 'メンズメイク/メンズコスメ', 'メイク／コスメが好き♡', 'アイスを愛す', 'お花見デートしたい！', '京都が好き', 'ストレス発散したい', '花火が好き！', 'スポーツがしたい', 'ジムに通っている、通いたい', 'お寿司大好き！']",https://with.is/users/6880125260
A,29歳 東京,507,"['コーヒーが好き', '魚、貝、海鮮料理が好き', '餃子', '星空が好き', '真剣に将来を考えてお付き合いできる人', 'おいしいランチを開拓したい！', '土日祝休み！！', '身体を動かしたい！ジムに行ってます！', 'ハイボールが好き', 'ジャニーズが好き', '法学部', '早稲田大学OB・OG', '全国大会・インターハイ出場者', 'おしゃれな店より居酒屋が好き', '辛い食べ物がすき']",https://with.is/users/6853232858
ぐりこ,26歳 東京,114,"['ディズニーが好き', 'You Tube', '1人の時間も大事', 'ディズニー映画、音楽大好き', 'カラオケ好き', 'USJでデートしたい！', 'ディズニー一緒に行きたいんですっ❗️', '水族館が好き、水族館に行きたい', 'ジブリ', 'おいしいものが食べたい！', 'ラーメン大好き', 'INFP', 'MBTIに興味あります！', '優しい人/穏やかな人が好き', '自然体でいられる関係がいい', '恋愛経験少ない', 'お酒飲むのが好きです！', '旅館・ホテルに泊まるのが好き', 'サンリオかわいい', '思いやり・気遣い・優しさ', 'おうちでゆったり漫画！', '仕事の日は返信が夜になります', '声優好き', 'ジャニーズが好き', '京都アニメーション', 'ジャズが好き', 'アラジン', '１人カラオケ全然行きます♪', '音楽がないと生きていけない', '魚、貝、海鮮料理が好き', '辛い食べ物がすき', '食べるのが好きな人', '居酒屋デートあり‼︎', 'お寿司大好き！', '洋楽が好き']",https://with.is/users/7892516855
り,28歳 東京,413,"['漫画・アニメ好き', 'ラーメン大好き', 'スイーツ大好き', '美術館・博物館巡り', 'コーヒーが好き', 'ONEOKROCK', 'Mrs. GREEN APPLE', 'Vaundy', 'お互いの価値観を大切にする', '映画が好き！映画館で観たり家で観たり！', '音楽ライヴ・フェス好き', '餃子', 'オシャレカフェを一緒に開拓したい', '居酒屋デートあり‼︎', '日本酒が好き']",https://with.is/users/6845393057
はる,28歳 東京,45,"['インドア、アウトドアどっちも', '土日休み', '旅行好きです', 'コーヒーが好き', 'ディズニー一緒に行きたいんですっ❗️', '広島出身', '季節のイベントを楽しみたい！', '感動するとすぐ泣いちゃう', '土日祝休み！！', '流行より好きなもの着る', 'ミュージカルが好き', '古都/古い町並みが好き❤️', '映画が好きです', '美術館好き', 'お酒飲むのが好きです！', '世界遺産を見に行きたい', 'オシャレカフェを一緒に開拓したい', '食べるのが好きな人', 'お寿司大好き！', 'ワイン好き']",https://with.is/users/2612875023
いおり,28歳 東京,968,"['ジブリ', 'スイーツ', 'PEANUTS', '美術館・博物館巡り', '牛タン大スキ❤︎', '甘いもの好きです！', '水族館が好き、水族館に行きたい', 'ゼルダの伝説 ブレスオブザワイルド', '清潔感がある人がいいな', '夜0時までに寝てしまう', '混んでて人が多い所苦手', '返事早い人が好き', '流行りに疎い', '友達も大切', 'どらえもん', 'ゼルダの伝説 ティアーズオブザキングダム', '犬夜叉', 'silent', '一人行動余裕です', 'くだらない会話をしたい', 'ピクミン4', 'ポケモンスリープやってます', 'らんま1/2', 'お味噌汁が好き', 'ねこ', 'サーモン好き', 'クレヨンしんちゃん好き！！', '休日ゴロゴロ', '多少ズボラでも気にしない', '空・星・自然に癒やされる', '末っ子です', 'ちいかわ', '星大好き', '結婚するなら話し合いができる人', '空が好き', '2人でゆっくり過ごしたい', '話し合い・聞き合いが出来る人', 'いぬ', 'チーズナン❤︎', 'トトロが好き', 'YouTube', '土日休み', '年下年上どちらもOK', '金木犀の香りが好き', 'ジュースよりお茶', '温厚な人が好き', 'おぱんちゅうさぎ', 'ちいかわが好き', '通話や連絡マメな人が好き', 'どうでもいい話が好き', 'ねこ好き', '綺麗な海が好き', '本屋さんが好き', '京都が好き', '神社・仏閣めぐり♪', '古都/古い町並みが好き❤️']",https://with.is/users/8146320556
おもて,29歳 神奈川,85,"['お互いに尊敬しあえる関係が良い', '恋愛・お付き合い未経験(ほぼ未経験含む)', '飲むより食べたい！', '一駅分くらい余裕で歩けちゃいます', 'チーズ好き', 'コーヒーが好き', '漫画・アニメ好き', '私立中高一貫校出身', 'アイスを愛す', 'やらない後悔よりやって後悔。', 'お家でのんびり大好き', '友達みたいなカップルに憧れる', '恋愛経験少ない', '医療人・医療系学生', '医療従事者', '国家資格保持者', 'お互いの仕事尊重したいしされたい', 'YouTubeが好き！', 'ねこ好き', '国立大学', '理系', 'ゲーム実況が好き！', '会って話なさないと伝わらない', 'タバコ吸いません', '男子校・女子校出身', '予定がない日は引きこもる', 'なんとかなるさ精神の持ち主', '素を出すのに時間がかかります', '自信はそんなに無いタイプ', 'YouTube', '遠距離でも大丈夫！', '親友みたいなカップルが理想！', 'オタクに理解ある人がいい', 'お互いの価値観を大事にする', '自然体でいられる関係がいい', '真剣に将来を考えてお付き合いできる人', '抹茶味が好き', '宇多田ヒカル', 'お酒があってもなくてもOK！']",https://with.is/users/9689223750
はるか,30歳 東京,290,"['旅行好きです', '耳をすませば', '安室奈美恵ファン', '沖縄が好き', 'ビール❤️', 'ワイン好き', 'お寿司大好き！']",https://with.is/users/2548751698
