名前,年齢&居住地,いいね数,URL,カード
ほ,25歳 東京,1044,https://with.is/users/812856784,"['良い匂いが好き', '動物好き', '甘いもの大好き♡', '肉好き', 'Kindleユーザー', 'コーヒーが好き', 'ディズニー一緒に行きたいんですっ❗️', '散歩デートが好き', '外国、海外旅行大好き', '面白い人が好き', 'おすすめの本教えてください', '匂いの相性は大事', '愛情表現はマメにされたい/したい', '兄弟、姉妹がいる', '一人暮らし経験者です', '顔なしさんはごめんなさい', 'お互いの仕事尊重したいしされたい', '会話のテンポが合う人が良い', '付き合ったら週1くらいは会いたい', 'お祭り/花火デートがしたい', '店員さんに優しい人が好き！', '楽しんで仕事してる人は素敵', '通話もOK', '抹茶好き', '付き合ったらアプリやめる', '弱いけど飲むのは好き', '自分から誘うの苦手です', '夜景が好き！', '感動するとすぐ泣いちゃう', '東海オンエア', '年をとっても仲良しでいたい', 'ドライブに行きたい！', '真剣に付き合いたいです。', '本屋に住みたい', 'シュークリームが好き', 'お寿司が大好き', '身体を動かしたい！ジムに行ってます！', '甘党', 'スイーツ好き', 'きみに読む物語', '生ハム大好き', '東海オンエア', 'スターバックス大好き集まれ', '千と千尋の神隠し', '子供を大事にする人', '好きな物は最後にとっておく！', 'INFJ（提唱者）', 'だが、情熱はある', '一緒にいろんなところ行きたいです！', '本屋さんが好き', 'ナイアガラ滝', '海外留学に行ったことがある！興味がある！', 'ジムに通っている、通いたい']"
ひな,28歳 東京,340,https://with.is/users/8498526089,"['旅行好きです', 'ゲーム見るのもやるのもすき', '兄弟、姉妹がいる', 'ポケモン大好き', 'ゲーム大好き！', '温泉が好き', 'ディズニー大好き', '漫画・アニメ好き', '一緒にいろんなとこ行きたい', '綺麗な景色が好き', '演劇・観劇好き', '土日休み', 'アウトドアもインドアもどっちも好きだ！', 'ディズニーランド/シーに行きたい！', '温泉/旅館が好き', '写真・カメラ好き', '付き合ったらアプリやめる', 'スプラトゥーン好き', 'マインクラフト', '土日祝休み！！', 'ゲーム実況', '一緒にゲームが出来る恋人が欲しい', '声が低め女子', 'YouTube好き', '話し方が優しいひとがすき', 'Nintendo Switch スイッチ', 'リモート・テレワーク', 'ゼルダの伝説 ブレスオブザワイルド', '2人でだらだらしてる時間が好き！', '株式投資', '穏やかで素直な人が好き', '感謝し合える夫婦になりたい', '精神的に大人で余裕のある人が好き', '共有ではなく趣味に理解がある人が理想。', '高身長な女の子/高身長好き', '写真撮られるの苦手です', 'ギャンブルしません', '一般常識・マナー・モラルは大切☺️', '居酒屋は個室派', '動物が好き', '家でダラダラするのが好き', '漫画好き', '仕事終わりでもご飯行けます', '高身長女子', '恋人にお前って呼ばれたくない', '都内勤務', 'まじめにお付き合いしたい', '綺麗なモノが好き', 'カクテル派', '褒められると伸びるタイプです', '正社員です', '日常', '動物好き', 'マイインターン', '今敏', '元美術部', '自撮り/写真 実は苦手なんです。', '得意とは言えないけど、料理好きです', '季節を感じることが好き(^_^)', '店員さんには敬語で接する', '店員さんに態度悪い人が嫌い', '食べるのが好きな人', 'バナナ好き', 'すいか好き', '人を見下さない人が好き', '相手の大切なものを大切にしたい', '短気な人は苦手', '私の趣味 理解出来なくても否定しないで', '和食', '亭主関白な人苦手です。', '元・現ディズニーキャスト', '優しい人/穏やかな人が好き', 'ねこもいぬも大好き！動物大好き', 'ギャンブルする方ごめんなさい🙏', '絵を描くのが好き', '勤務地 東京', 'コナンの映画が好き', 'いい友達に恵まれてると思う', '相手がオタクでもOK！', '一緒にゲームしたい‼', '夜景が大好き！', '読書好き', 'お寿司大好き！']"
ゆ,27歳 東京,2465,https://with.is/users/5532916582,"['ヒョンジン', '犬は家族', 'You Tube', 'おいしいものが食べたい！', '温泉/旅館が好き', '旅行好きです', 'チョコ好き', 'チーズ好き', 'TREASURE ジュンギュが好き🐨', '駆け引きしない人が好き', 'ESFP（エンターテイナー）', '美容好き', 'なんでも一緒に楽しみたい', 'サウナが好き', 'ダーツ好き♪', '魚、貝、海鮮料理が好き']"
あやか,30歳 東京,137,https://with.is/users/6769046855,"['演劇・観劇好き', '猫好きor飼っている', 'プラネタリウム好き', '温泉/旅館が好き', '一緒にいろんなとこ行きたい', '星空が好き', 'ねこ好き', '東京ディズニーリゾートが好き', '良い香りが好きです。', 'アウトドアもインドアもどっちも好きだ！', 'ディズニー大好き', 'ディズニー映画、音楽大好き', '温泉に行きたい', '水族館が好き、水族館に行きたい', 'ディズニー一緒に行きたいんですっ❗️', '銀魂', '美術館・博物館巡り', '漫画・アニメ好き', '優しい人/穏やかな人が好き', '一緒にいて居心地がいい関係♥', 'お互いにリスペクトしあえる関係', 'お互いの価値観を大事にする', '犬も猫も好き', 'ヲタクには恋は難しい', '海が好き！', '人の趣味に文句を言わない', 'しっかり向き合ってくれる人', '映画が好きです', '店員さんに優しい人が好き！', '映画が好き！映画館で観たり家で観たり！', 'ありがとう、ごめんねを言える人が好き。', '【オタク】推しが居ても許されたい/許す', '相手がオタクでもOK！', '「ありがとう」の言葉と気持ちは大切！', '愛情表現はマメにされたい/したい', '声優・アニソンが好き！', '水族館、動物園が好き🥰', '出かけるのも好き、おうちゴロゴロも好き', '尊敬し合える関係', 'オタクに抵抗ない人がいい！', 'ねこもいぬも大好き！動物大好き', '映画🎥洋画大好き！']"
ゆめ,26歳 神奈川,127,https://with.is/users/7858256825,"['一緒にいろんなところ行きたいです！', '劇団四季', '楽器やってます', 'こう見えてオタクです', '水族館が好き、水族館に行きたい', '写真・カメラ好き', '一緒にいて楽しい人が好き', '1人旅も好き', 'ボカロ好き', '話すの下手だけどおしゃべり好き', '落ち着きのある人が好き', 'ENFP（広報運動家）', 'オタクに抵抗ない人がいい！', '彼氏/彼女がオタクでもいい', '相手がオタクでもOK！', '劇団四季ノートルダムの鐘', '劇団四季が大好き♡', 'ポケモンsv', 'ポケモンエンジョイ勢', '幽☆遊☆白書', 'one piece 大好き！', '水族館•クラゲ好き', '神社・仏閣めぐり♪', '本が好き', '写真を撮るのが好き', '年下年上どちらもOK', '音楽聴きながらドライブ', 'ゲーム見るのもやるのもすき', '漫画・アニメ好き', '自分から誘うの苦手です', 'ねこ好き', '恋愛経験少ないです', '真剣に付き合いたいです。', 'ねこ', 'イギリスが好き', 'ブロードウェイミュージカル', 'ミュージカル', 'ミュージカルカラオケできる', 'ミュージカル鑑賞', 'I LOVE❤︎ミュージカル', '劇団四季 クレイジーフォーユー', '劇団四季リトルマーメイド', '劇団四季アナ雪、絶対観に行きます！！', '劇団四季 アラジン', '劇団四季ファンよ集え！', '劇団四季 オペラ座の怪人', '劇団四季 Cats', '劇団四季が好き', 'カラオケが好き', '音楽がないと生きていけない', 'ミュージカルが好き', 'ピアノ好きな人', '椎名林檎・東京事変', 'BUMP OF CHICKENが好き']"
S,27歳 東京,540,https://with.is/users/4576258047,"['仲良くなったらめちゃくちゃ喋る', 'お互いにリスペクトしあえる関係', '弱いけど飲むのは好き', 'イルミネーション大好き！', '景色が好き', 'ディズニー一緒に行きたいんですっ❗️', '温泉好き', 'サウナ', 'ディズニー一緒に行きたい', '水族館が好き', 'ディズニーが好き', 'お刺身好き', '肉好き', 'コーヒーが好き', 'ディズニーランド/シーに行きたい！', '星空が好き', '子供大好き', 'インドア、アウトドアどっちも', 'イルミネーション見に行きたい', 'プラネタリウム好き', 'ディズニー映画、音楽大好き', '散歩デートが好き', '水族館が好き、水族館に行きたい', 'おいしいものが食べたい！', '温泉/旅館が好き', '旅行好きです', '温泉に行きたい', '牛タン大スキ❤︎', '絶景見に行きたい！', 'カラオケ好き', 'Mrs.GREEN APPLEが好き！', 'Mrs. GREEN APPLE', 'official 髭男 dism', 'お酒飲むのが好きです！', '電話するのも好き', '電話が好き', 'メールやLINEより電話派☏', '冗談を言いあいたい', '脱出ゲーム、ボドゲ、マーダーミステリー', '謎解き・脱出ゲーム大好き！', '抹茶好き 抹茶巡りしたい', '空港または飛行機が好き', '旅館が好き', '一緒にいろんなところに行きたい', '露天風呂付き客室に泊まりたい！', 'スーパー銭湯 de デート', 'TRPG・ボードゲーム好き！', 'ボードゲーム好き！', 'インドアもアウトドアも楽しめる✨', '結婚してもデートはしたいな', '会って話なさないと伝わらない', 'くだらない事でもいつも笑い合っていたい', 'ボードゲームが好き', '真剣に将来を考えてお付き合いできる人', '仕事にやりがいを感じています', '好きになったら一途です', 'お付き合い出来たら一緒にwith辞めたい', '助手席に乗せたい男/乗りたい女', 'お祭り/花火デートがしたい', 'お仕事がんばってる人が好き', '土日祝休み！！', '水族館、動物園が好き🥰', 'お風呂 岩盤浴が好き', 'サウナが好き', '岩盤浴', 'お酒弱いけど雰囲気がすき！', '散歩好き！', '出かけるのも好き、おうちゴロゴロも好き', '年をとっても仲良しでいたい', 'パートナーと一緒に成長したい', '涙腺が緩い', '自分がされて嫌なことは人にしない', '平和主義者', '尊敬し合える関係', '温厚な人が好き', 'ありがとう、ごめんねを言える人が好き。', 'くだらないことで笑い合える関係がいい', 'たらこ、明太子が好き', 'もつ鍋好き', '生肉LOVE', 'お米が好き', '抹茶味が好き', '一緒にいろんなところ行きたいです！', '夜の散歩が好き', '一緒いろんなところ行きたい', 'Disneyのノートルダムの鐘が好き', 'I LOVE❤︎ミュージカル', 'ミュージカルが好き', 'オペラ座の怪人', 'タイタニック', 'レミゼラブルLes Misérables', 'Official髭男dism', 'YOASOBI', 'YOASOBIの群青が好き！', '1人暮らし', 'おいしそうに食べる人が好き！', 'リードしてくれる男性すき', '人柄の良さに惹かれる', '旅館・ホテルに泊まるのが好き', '遊ぶ時は全力で楽しむ！', '人の事を悪く言わない人が好き', '夜一緒にフラッとコンビニ行きたい', 'お互いの仕事尊重したいしされたい', '精神的に自立している人が好き', 'しっかり向き合ってくれる人', '真面目に恋愛がしたい', '楽しんで仕事してる人は素敵', '温泉大好きです♨️', '目的のない散歩が好き', '低身長女子OK／低身長女子', '自信はそんなに無いタイプ', '抹茶好き', '付き合ったらアプリやめる', '感動するとすぐ泣いちゃう', 'ノープランでどこでも行くの好き！', '花火や夜景がすき', 'サウナ好き', '土日休み', 'ヤリモク・不倫浮気・勧誘する人はお断り！', 'ブルーロック', '古いものに魅力を感じている', 'プロポーズ大作戦', '医療系ドラマ好き', 'コード・ブルー好き', 'おげんさんといっしょ', 'しゃべくり007', '月曜から夜ふかしが好き！', '世界の果てまでイッテQ！が好き', 'アメトーーク🌈好き！！', '勇者ヨシヒコ好き', '逃げ恥ハマる', '宇宙兄弟が好き', 'メジャー(MAJOR)', 'お酒好きだけど弱い', '梅酒が好き', '美女と野獣が好き', '時をかける少女', '細田守作品好き', 'Mrs. GREEN APPLE', '日本庭園', 'アイスを愛す', '抹茶が好き！', '飲んで仲良くなるタイプ', '食べ物で好き嫌いはありません', 'お城が好き、昔の建物が好き', 'よく食べる🍚', '居酒屋デートあり‼︎', '夜景が大好き！', '海が好き！', '古都/古い町並みが好き❤️', '綺麗な海が好き', '食べるのが好きな人', 'お寿司大好き！', '焼き肉が好き', 'ドライブしながら音楽！']"
sh,27歳 東京,1615,https://with.is/users/9682156381,"['ディズニーワールドも行きたい！', 'ファッションが好き', 'ディズニー映画、音楽大好き', '写真・カメラ好き', 'コーヒーが好き', '散歩デートが好き', '死ぬまでに見たい世界がある', '絶景見に行きたい！', '外国、海外旅行大好き', 'ドライブに行きたい！', '連絡がマメだと嬉しい', '付き合ったら週1くらいは会いたい', '飛行機大好き☆""', 'アベンジャーズ', 'ダイビングしたい！', 'アクション映画好き', 'MARVEL大好き', 'netflix使ってる', '本が好き', '歴史好き', '洋楽が好き', '海外旅行たくさんしたい！', '年に一度は海外行きたい', '空港がすき', '空港または飛行機が好き', 'ビール❤️', 'お寿司大好き！', '欧州サッカー⚽️', 'サッカーが好き！', 'サッカー観戦が好き', '世界遺産を見に行きたい', '綺麗な海が好き']"
きな,27歳 東京,915,https://with.is/users/6843852851,"['スポーツがしたい', '映画が好きです', '世界遺産を見に行きたい', 'カラオケ好き', '良い匂いが好き', '温泉好き', '美術館が好き', '写真・カメラ好き', 'コーヒーが好き', '絶景見に行きたい！', '外国、海外旅行大好き', '会う前に電話したい派', '話し合い・聞き合いが出来る人', '愛情表現はマメにされたい/したい', '優しい人/穏やかな人が好き', '自然体でいられる関係がいい', '真剣に将来を考えてお付き合いできる人', 'K-pop', '洋楽が好き', 'マリオカートが好き！', 'Splatoon3(スプラトゥーン3)', 'Nintendo Switch スイッチ', 'ドライブっていいよね', '小説が好き！', 'かまいたち', 'サンドウィッチマン', 'ねこ', '新海誠が好き', '古い映画も好きなんです♪', 'netflix使ってる', 'オシャレな人好き', 'お肉とお酒が好き', 'ワイン好き', '日本酒が好き', 'お酒飲める人がいい！', '自然に触れることが好き', '見た目と中身ギャップがあると言われる', 'たまにメガネ', '常識がある人がいい', '連絡がマメだと嬉しい', 'ショッピングが好き', '花火大好き', '韓国好き', '夜景が好き', '旅館・ホテルに泊まるのが好き', '絶叫系大好き！', '自炊しています', 'インドアもアウトドアも楽しめる✨', 'タイ料理が好き♪', 'お寿司が大好き', '桃が好き', 'カレー好き', '牡蠣が大好き', 'お蕎麦が好き', '魚、貝、海鮮料理が好き', '哲学が好き！', '学ぶのがすき', 'スプラトゥーン好き', 'ゴッホが好き。', '現代アート好き', 'クロード・モネ', '宇宙兄弟が好き']"
モッモ,26歳 東京,226,https://with.is/users/5852819663,"['温泉好き', '温泉に行きたい', '肉好き', 'キャッチボールしよう', '真剣に付き合いたいです。', '寝るの好き', 'SUVに乗っている', '車運転するの好きです！', 'ドライブ好きです', '真剣に将来を考えてお付き合いできる人', '元野球部⚾️元ソフト部', 'よく食べる🍚', '道の駅', '温泉', '五島に行きたい！', '車中泊']"
あり,29歳 東京,276,https://with.is/users/6883008650,"['食べ歩き好きです！', 'カラオケ好き', '水族館が好き、水族館に行きたい', '一緒にいろんなとこ行きたい', '温泉/旅館が好き', '絶景見に行きたい！', '散歩デートが好き', '沖縄が好き', '枝豆', 'サラダ／健康的な食事が好き', '笑顔が好き♡', 'KALDIが好き', 'ESFJ（領事官）', 'しっかり向き合ってくれる人', '水餃子おいしい', '付き合ったらアプリやめる', '夜道の散歩が好き', 'よく笑う人が好き', '真剣に将来を考えてお付き合いできる人', '通話もOK', '花火が好き！', '散歩デート', 'SHISHAMO', 'Aimerが好き', 'いくらが好き', 'だし巻きたまごが好き', '生ハム大好き', '犬が好き', '相手の気持ちを考えられる人が好き', 'ありがとう、ごめんねを言える人が好き。', 'お互いの価値観を大切にする', 'アボカド大好き！', 'お味噌汁が好き', 'たけのこ派', '抹茶好き', '緑黄色社会', 'ずっと真夜中でいいのに。', 'ヨルシカ', 'Official髭男dism', '一人暮らし経験者です', '一緒に頑張ろうってなれる人がいい！', 'お互いにリスペクトしあえる関係', '大切にしたいと思える人と付き合いたい', '抹茶味が好き', '梨が好き', 'カレー好き', 'チーズケーキLOVE', 'ピザ・パスタが好き', '唐揚げ大好き♡', '餃子', '体動かすのが好き！', '海ぶどう好き', 'ポテトチップス好きです', 'おいしそうに食べる人が好き！', 'お寿司大好き！', '１人カラオケ全然行きます♪', '夜景が大好き！', 'スキー・スノボーに行きたい！', 'スノーボードが好き']"
